City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,corralillo,22.9819,-80.5856,28.43,67,2,5.4,CU,1684618606
129,lebu,-37.6167,-73.65,11.44,78,100,7.68,CL,1684618606
130,huetamo de nunez,18.5833,-100.8833,40.06,20,100,1.07,MX,1684618606
131,goldsboro,35.3849,-77.9928,26.96,57,75,4.63,US,1684618348
132,stanley,54.868,-1.6985,11.01,76,0,2.06,GB,1684618606
133,goure,13.9835,10.2704,33.09,29,79,3.71,NE,1684618606
134,zhanaozen,43.3,52.8,20.54,45,29,3.89,KZ,1684618606
135,san luis de la loma,17.2706,-100.8939,32.79,52,99,4.07,MX,1684618606
136,pindobacu,-10.7417,-40.3608,22.68,60,34,2.39,BR,1684618606
137,fort st. john,56.2499,-120.8529,22.94,38,75,3.09,CA,1684618606
138,t'ongch'on-up,38.9539,127.8917,16.23,73,94,4.92,KP,1684618607
139,cadale,2.7603,46.3222,26.86,85,17,6.87,SO,1684618607
140,kirov,58.5966,49.6601,11.94,72,65,1.03,RU,1684618607
141,cheongsong gun,36.4335,129.057,16.9,81,100,3.32,KR,1684618607
142,severo-yeniseyskiy,60.3725,93.0408,3.8,99,99,1.5,RU,1684618607
143,westport,41.1415,-73.3579,19.16,92,100,5.66,US,1684618607
144,tindouf,27.6711,-8.1474,24.25,33,0,7.2,DZ,1684618607
145,hamilton,39.1834,-84.5333,22.01,54,20,6.69,US,1684618435
146,ust-nera,64.5667,143.2,4.09,66,99,2.62,RU,1684618607
147,inongo,-1.95,18.2667,22.73,93,100,1.27,CD,1684618607
148,figuig (centre),32.1089,-1.2286,21.2,26,93,3.05,MA,1684618607
149,udachny,66.4167,112.4,-0.86,92,100,6.38,RU,1684618608
150,inhambane,-23.865,35.3833,22.47,67,100,1.82,MZ,1684618608
151,kirakira,-10.4544,161.9205,28.48,79,100,2.35,SB,1684618608
152,molochnoye,59.2917,39.6787,11.28,68,100,3.53,RU,1684618608
153,santiago de cao,-7.9589,-79.2392,24.07,78,41,5.66,PE,1684618608
154,fisterra,42.9049,-9.2629,14.45,80,1,10.01,ES,1684618608
155,saldanha,-33.0117,17.9442,11.03,90,66,3.51,ZA,1684618608
156,papatowai,-46.5619,169.4708,8.12,75,52,2.76,NZ,1684618608
157,san patricio,28.017,-97.5169,28.97,66,94,4.38,US,1684618608
158,la sarre,48.8002,-79.1996,17.03,40,100,2.38,CA,1684618608
159,suonenjoki,62.6167,27.1333,10.79,69,3,2.06,FI,1684618608
160,tralee,52.2704,-9.7026,11.96,98,100,0.14,IE,1684618609
161,itaituba,-4.2761,-55.9836,31.09,66,20,2.06,BR,1684618609
162,sao joao da barra,-21.6403,-41.0511,20.05,82,0,3.83,BR,1684618609
163,portland,45.5234,-122.6762,28.12,54,20,3.09,US,1684618609
164,rongelap,11.1635,166.8941,27.71,82,98,5.76,MH,1684618609
165,hermanus,-34.4187,19.2345,17.67,78,100,7.27,ZA,1684618609
166,leava,-14.3,-178.1667,28.93,78,11,4.98,WF,1684618609
167,chesma,53.8111,60.6533,10.02,55,37,3.47,RU,1684618609
168,sept-iles,50.2001,-66.3821,9.47,80,100,4.63,CA,1684618609
169,tosontsengel,48.7567,98.2839,-2.87,57,18,1.58,MN,1684618609
170,kirs,59.3388,52.2447,10.43,76,58,1.06,RU,1684618609
171,belmonte,-15.8631,-38.8828,22.66,83,13,4.34,BR,1684618610
172,fray bentos,-33.1325,-58.2956,16.52,87,99,4.66,UY,1684618610
173,borisovka,50.6236,35.9903,13.08,80,6,4.24,RU,1684618610
174,les cayes,18.2,-73.75,28.66,69,14,2.96,HT,1684618610
175,magadan,59.5667,150.8,2.52,96,100,3.15,RU,1684618538
176,kizner,56.2749,51.508,14.01,76,90,1.97,RU,1684618610
177,amboasary,-25.0333,46.3833,19.61,92,1,2.98,MG,1684618610
178,kone,-21.0595,164.8658,22.77,55,89,2.03,NC,1684618610
179,sinop,41.7711,34.8709,11.16,84,78,2.16,TR,1684618610
